Image Name,Predicted Class
296_2023_0.tif,0
264_2023_3.tif,0
16_2022_4.tif,2
175_2022_7.tif,1
361_2023_3.tif,2
371_2022_5.tif,1
171_2022_11.tif,2
183_2022_5.tif,1
37_2022_7.tif,0
348_2022_11.tif,0
159_2022_9.tif,0
354_2022_11.tif,1
131_2022_4.tif,0
338_2022_11.tif,1
543_2023_0.tif,1
114_2022_6.tif,1
13_2022_5.tif,1
473_2023_0.tif,2
382_2022_4.tif,2
122_2023_0.tif,1
43_2022_5.tif,2
375_2022_11.tif,1
348_2022_7.tif,0
256_2022_7.tif,0
414_2023_1.tif,0
50_2022_10.tif,2
557_2022_7.tif,0
260_2023_3.tif,1
372_2022_10.tif,2
524_2022_5.tif,1
86_2022_6.tif,2
419_2023_3.tif,2
121_2022_5.tif,0
306_2022_9.tif,2
73_2023_2.tif,2
438_2022_6.tif,1
423_2023_0.tif,2
351_2023_0.tif,2
258_2023_0.tif,0
463_2023_1.tif,1
88_2022_11.tif,1
552_2022_10.tif,1
168_2023_3.tif,0
15_2022_5.tif,2
532_2022_5.tif,1
416_2023_2.tif,1
468_2023_2.tif,0
4_2022_10.tif,1
377_2023_0.tif,0
258_2022_9.tif,0
235_2022_8.tif,1
477_2022_6.tif,1
194_2022_11.tif,2
145_2023_2.tif,2
81_2023_2.tif,0
548_2022_11.tif,1
472_2022_7.tif,2
37_2022_5.tif,0
141_2022_7.tif,0
120_2022_9.tif,1
201_2022_9.tif,0
191_2023_1.tif,2
359_2022_8.tif,1
86_2023_1.tif,2
149_2023_3.tif,2
281_2022_6.tif,2
484_2022_8.tif,0
220_2022_8.tif,0
467_2023_1.tif,1
407_2023_1.tif,0
116_2022_6.tif,0
31_2023_3.tif,0
217_2022_6.tif,2
564_2022_11.tif,2
206_2022_8.tif,0
54_2022_4.tif,2
213_2022_5.tif,0
207_2023_2.tif,0
159_2023_0.tif,0
440_2022_5.tif,1
357_2023_1.tif,1
453_2023_2.tif,1
129_2022_11.tif,0
101_2022_6.tif,1
216_2022_10.tif,1
160_2023_1.tif,2
525_2023_1.tif,2
412_2023_3.tif,0
325_2022_5.tif,1
405_2022_8.tif,1
162_2023_2.tif,2
13_2022_4.tif,1
218_2022_4.tif,1
239_2022_11.tif,2
142_2022_5.tif,1
156_2022_6.tif,1
115_2023_3.tif,1
63_2022_7.tif,0
375_2022_10.tif,1
494_2023_3.tif,2
147_2022_10.tif,1
61_2022_11.tif,1
266_2023_3.tif,1
68_2022_9.tif,0
122_2023_3.tif,1
74_2023_1.tif,1
483_2023_2.tif,0
6_2022_8.tif,0
329_2023_0.tif,1
51_2022_5.tif,0
303_2022_6.tif,2
182_2022_10.tif,2
21_2022_7.tif,1
296_2023_2.tif,0
484_2022_7.tif,0
279_2023_3.tif,1
339_2022_7.tif,1
371_2022_8.tif,1
439_2022_7.tif,0
458_2022_10.tif,2
247_2022_10.tif,1
369_2022_6.tif,0
153_2023_3.tif,1
318_2023_1.tif,2
193_2023_1.tif,2
521_2022_11.tif,0
227_2023_3.tif,1
50_2023_1.tif,2
525_2022_9.tif,2
493_2022_7.tif,0
140_2022_5.tif,1
278_2023_2.tif,2
361_2022_6.tif,2
83_2022_5.tif,2
137_2023_3.tif,2
389_2022_6.tif,2
313_2023_0.tif,2
343_2022_11.tif,1
151_2023_0.tif,1
556_2022_8.tif,2
424_2022_10.tif,0
58_2023_1.tif,1
229_2022_8.tif,0
471_2022_7.tif,2
254_2022_5.tif,0
162_2022_6.tif,2
471_2023_1.tif,2
